ID;AUTORIA;"ORIGEM
(opcional)";CONSULTA PORTAL DA TRANSPARÊNCIA;"CATEGORIA
(opcional)";PONTOS DE ATENÇÃO;SUGESTÕES/BOAS PRÁTICAS;OBSERVAÇÕES;"IMPACTO NO USUÁRIO
(1- Baixo; 2- Médio; 3- Alto)";VIABILIDADE (sim/não);"ESFORÇO (1-Baixo; 2-Médio; 3- Alto)";PRIORIDADE (baixa/alta)
11;LAB.MG;"Análise exploratória
(menu superior)";O QUE É O PORTAL;ORGANIZAR DADOS;"O menu ""o que é o portal"" contem informações sobre a lei de acesso à informação";"As informações referentes à Lei de acesso à informação poderiam estar no menu ""legislação"" o que pode faciliar a consulta do usuário";melhorar o layout do site, importante, mas não trará melhoria significativa nas consultas e nas buscas;baixo;sim;médio;baixa
12;LAB.MG;ANÁLISE EXPLORATÓRIA (menu de acesso rápido);MENU;LAYOUT;O menu que abre após o usuário clicar em uma das opções do acesso rápido fica escondido;"Verificar possibilidade de alterar o layout do menu 
( ex: drop down)";"Já observamos em outros testes que o usuário prefere outros formatos de menu que deixam todas as opções visíveis
Silviana: Deixar as opções fixas: Ex. Portal de Salvador / Pernambuco ou colocar na lateral (ex. site SEPLAG)";médio;sim;alto;baixo
13;LAB.MG;Análise exploratória;CONTÉUDO ESTÁTICO;INCLUSÃO DE INFORMAÇÕES;"Não existe explicação introdutória disponibilizada na página estática de todos os conteúdos do acesso rápido.
-Receita e Transferência de Impostos: vai direto para a consulta (não existe outra opção como em ‘despesas’ ou ´pessoal’;
-Convênios, Despesas e Dívida Pública: existe espaço em brancco para o texto estático explicar as opções de consultas em cada um 
-TCE/Obras Públicas: vai direto para o site do TCE 
 ";Padronizar a página introdutória de todos os conteúdos para facilitar o entendimento das informações que estão disponíveis e de como o usuário deve realizar a consulta.;;baixo;sim;médio;BAIXA
14;LAB.MG;Análise exploratória;GERAL;ORGANIZAR DADOS;"Falta de padronização na organização de todas as páginas de conteúdo do menu de acesso rápido. Dentro do menu “Sobre a cidadania fiscal” existe um menu lateral para organizar as informações dentro deste espaço.
";Verificar a possibilidade de adotar esse tipo de organização para outras páginas de conteúdo, tentar padronizar.;melhorar o layout do site, importante, mas não trará melhoria significativa nas consultas e nas buscas;baixo;sim;alto;baixa
15;LAB.MG;ANÁLISE EXPLORATÓRIA;PÁGINA INICIAL;LAYOUT;As informações do menu de acesso rápido possui uma lógica de organização que não fica clara para o usuário (consultas elaboradas e desenvolvidas pela CGE estão posicionadas embaixo da faixa vermelha e consultas que direcionam para sites internos estão posicionados na faixa amarela.;Toda informação disponível no site que precisa ser compreendida pelo usuário deve estar descrita de forma explicita, o usuário não deve deduzir o que o desenvolvedor pensou.;Não está claro para o usuário que os menus embaixo da barra laranja são outros sites. Uma vez que existem menus dentros das outras consultas que também são links externos;médio;sim;alto;baixo
16;LAB.MG;Análise exploratória;CANAIS DE ATENDIMENTO;COMUNICAÇÃO COM O USUÁRIO;"
Os canais de atendimento não estão centralizados em um único local dentro do site";"Verificar se é possível centralizar  todos os canais de atendimento dentro de um menu atendimento, inclusive o fale conosco ( dentro da opção ""Lei de acesso à informação"", no menu “o que é o portal” existem alguns canais de atendimento para registro de demanda de informações referentes a essa lei podem ser inseridos juntamente com os demais canais de atendimento para facilitar que as pessoas saibam da existência desses canais)
";Olhar sugestão do Portal MG;médio;SIM;2;alta
17;LAB.MG;Análise exploratória;CANAIS DE ATENDIMENTO;COMUNICAÇÃO COM O USUÁRIO;A página do formulário do fale conosco não tem o link/direcionamento para os outros canais de atendimento;"Inserir todas as opções de atendimento próximo ao formulário do fale conosco; verificar se é possível inserir ""dúvidas?fale conosco"" ao final de todas as páginas";Olhar modelo Portal MG;médio;SIM;2;alta
18;LAB.MG;ANÁLISE EXPLORATÓRIA;PÁGINA INICIAL;LAYOUT;"Imagem de fundo dá sensação de completude na tela e não diz para o usuário que ele pode rolar a página para baixo.
";Repensar o layout da página, rever a organização dos itens, reduzir o tamanho das notícias e dos vídeos;"Olhar modelo Portal MG
Silviana: Regorganizar a página inicial do Portal (alterar cor, fonte e etc)";médio;sim;alto;baixo
19;LAB.MG;ANÁLISE EXPLORATÓRIA;PÁGINA INICIAL;LAYOUT;Campo com as notícias está ocupando muito espaço;Reestruturar as notícias, talvez com um título, posicionar melhor o banco de notícias;"Olhar modelo Portal MG.
Notícias não estão no menu inicial nem no menu de conteúdo; título ‘banco de notícias’ com hiperlink para todas elas está escondido.
";médio;sim;alto;baixo
20;LAB.MG;Análise exploratória;CONTÉUDO ESTÁTICO;LAYOUT;A informação sobre a frequência de atualização do site não está evidente no site .Em cada consulta há uma marcação automática, e as diferentes frequências por consulta estão em perguntas frequentes;"Deixar essa informação explicita pra o usuário. 
";Silviana: A marcação de atualização dos dados confunde o usuario, pois existe data de atualização nos artigos o que as vezes ocasiona dúvida sobre a atualização;3;SIM;3;ALTA
21;LAB.MG;Análise exploratória;CONTÉUDO ESTÁTICO;INCLUSÃO DE INFORMAÇÕES;O menu de acesso rápido “ Acesso à informação” não possui informação introduótira (página estática) que oriente o usuário e redireciona direto para o Sistema Eletrônico do Serviço de Informações ao Cidadão;Inserir explicação sobre a legislação e sobre o site e-SIC, explicando qual sua finalidade e o que o usuário pode encontrar nesse canal.;Silviana: Não vejo necessidade de acrescentar esses dados, pois quando o usuário;baixo;sim;baixo;BAIXA
22;LAB.MG;Análise exploratória;FISCALIZANDO COM TCE;CONCEITO;Não existe explicação introdutória na menu de “Municípios”;Inserir página estática com explicação introdutória e perguntas frequentes relacionadas aos munciípios dentro desse menu ( ex: pegar algumas perguntas mais frequentes sobre o programa de transparência e outras dúvidas que surgem muito no fale conosco);;2;NÃO;3;BAIXA
23;LAB.MG;Análise exploratória;INFORMAÇÕES GERAIS;ORGANIZAR DADOS;"A opção ""informações gerais"" possui muitas não possui uma organização, dificultando a busca de informações pelo usuário.";Pensar em uma nova organização;casa com id8;baixo;sim;médio;baixa
24;LAB.MG;ANÁLISE EXPLORATÓRIA;BUSCA;USABILIDADE;A ferramenta de busca não mostra etiquetas com os filtros que estão sendo aplicados, nem permite a visualização de filtros simultâneos para a busca.;Utilizar modelo similar ao disponibilizado na área de dados abertos;"Atualmente o campo permite a busca de dados do Portal da Transparência até o nível do filtro (ex. programa, função), além da busca padrão por conteúdo estático do site.

 

As seguintes consultas possuem esse recurso:

·         Despesa

·         Restos a Pagar

·         Despesa com Pessoal (busca por poder/órgão)

·         Receita*

·         Dívida Pública*

·         Repasse a Municípios

·         Remuneração (nome do servidor)";alto;;alto;alta
25;LAB.MG;ANÁLISE EXPLORATÓRIA;BUSCA;USABILIDADE;Os filtros disponíveis na busca não são compreensíveis.;"Explicar melhor o que são os elementos de navegação : “Contas do Estado”, “Download”, “Categorias” e “Artigos”, pois pode não ficar claro na hora do usuário fazer a busca. No menu de navegação apenas as “categorias” são mostradas em destaque mas na ferramenta de busca outros elementos de navegação são colocados em evidência. 
 ";;médio;;alto;baixo
26;LAB.MG;Análise exploratória;FEEDBACK;COMUNICAÇÃO COM O USUÁRIO;Não existe atualmente espaço para o usuário avaliar a disposição das informações e o conteúdo nas páginas do Portal;Inserir avaliação ou pesquisa de satisfação próximo aos conteúdos mais acessados para pegar o feedback;Silviana: Ex. http://www.transparencia.df.gov.br/#/despesas/consulta-dinamica;médio;SIM;3;alta
27;LAB.MG;ANÁLISE EXPLORATÓRIA;GERAL;CHANGELOG;"As mudanças realizadas no site podem gerar dúvida para o usuário que já esta acostumado a navegar . As principais mudanças no site precisam ser levantadas para pensar em como minimizar dúvidas
";"Elaborarum plano de comunicação da mudança e criar ""tour"" ao abrir o site pela primeira vez, dando destaque às principais mudanças
";;baixo;sim;alto;baixo
28;LAB.MG;ANÁLISE EXPLORATÓRIA;PÁGINA INICIAL;LAYOUT;Não existe menu com o link das páginas mais acessadas;"Criar Menu de acesso rápido e ocultar as demais opções em um menu principal de consultas para organizar melhor e ficar mais rápido de identificar
";Olhar modelo Portal MG;alto;sim;alto;alta
29;LAB.MG;ANÁLISE EXPLORATÓRIA;GERAL;TIPOGRAFIA;Fonte dos textos está pequena;Melhorar tamanho e cor da fonte;"Alto - consultas prodemde
Baixo - Artigos";médio;sim;baixo;baixo
30;LAB.MG;Análise exploratória;CANAIS DE ATENDIMENTO;COMUNICAÇÃO COM O USUÁRIO;Não há link para o canal do fale conosco em todas as páginas;Inserir Dúvidas? Fale conosco ao final de todas as páginas;Silviana: Não entendi;médio;SIM;2;alta
31;LAB.MG;Análise exploratória;DADOS ABERTOS;DADOS ABERTOS;Não há uma seção onde seja possível fazer o download de documentos do Portal da Transparência;"Inserir barra de buscas - Categorizar documentos pelo tipo e ao selecionar o tipo, fazer abrir subtítulos com o detalhamento do documento. 
";Atualizar o Portal de Dados Abertos;2;SIM;3;BAIXA
32;LAB.MG;Análise exploratória;MENU INICIAL;ACESSABILIDADE;Não existe barra de acessibilidade;Inserir barra de acessibilidade;Olhar modelo Portal MG;médio;sim;alto;baixa
33;LAB.MG;Análise exploratória;FALE CONOSCO;INCLUSÃO DE INFORMAÇÕES;O formulário do Fale conosco não tem subdivisão de assunto;Verificar a possibilidade de incluir novos assuntos ou temáticas ( importante para análise dos dados).;;3;SIM;3;BAIXA
34;LAB.MG;Análise exploratória;FALE CONOSCO;INCLUSÃO DE INFORMAÇÕES;Formulário do fale conosco não mostra para o usuário a perspectiva de resposta;Inserir mensagem amigável ao final do preenchimento dando perspectiva de prazo para resposta.;;3;SIM;3;BAIXA
35;LAB.MG;Análise exploratória;FAQ;USABILIDADE;Não existe link para o dúvidas frequentes próximo ao formulário do fale conosco;Inserir o link de dúvidas frenqtentes na página do formulário do fale conosco e o link do fale conosco próximo ao dúvidas frequentes;;2;SIM;2;ALTA
36;ENTREVISTA 1;ENTREVISTA;FAQ;INCLUSÃO DE INFORMAÇÕES;;"Informações sobre as empresas públicas, porque não são muitas  e poderia inserir um link para os sites dela se for o caso. 
Sim, informações sobre as empresas estatais, principalmente as dependentes, recursos do Estado destinados a essas empresas, resultados e execução das metas.";Silviana: Incluir os links da empresas no conteúdo estático;médio;sim;médio;BAIXA
37;ENTREVISTA 1;ENTREVISTA;Compras e Contratos;LAYOUT;;"Um outro ponto que eu vi em outros portais, é que tem a possibilidade de construir gráfico com variações de preços do mesmo bem e ítem, e ajuda muito a fiscalização do ministério público sobre essas variações. E ajuda muito tmb as comissões que vão precisar de comprar alguma coisa...
Exemplo: Portal do TCE da Bahia e Governo Federal. Agora das Empresas públicas é que realmente eu sinto muita falta, tem emprtesas como a Metrominas que não tem site e a REdeMinas que está muito ruim a informação. Então poderia migrar essas informações para o Portal, porque as compras já são feitas no portal de compras";;;;;
38;ENTREVISTA 1;ENTREVISTA;PESQUISA AVANÇADA;FILTROS;;"Inserir  média de preços, que você consegue filtrar o elemento e ver a variação que deve fazer também um link com o da União. 
(Dar opões para concatenar e resumir os dados de maneiras diferentes a partir da busca ampliada: média, soma de ocorrências...)";;????;????;;
39;ENTREVISTA 1;ENTREVISTA;COMPRAS - PROGRAMA DE ENFRENTAMENTO A COVID-19;USABILIDADE;Não consegui acessar todos os contratos de covid ( usuária não tinha conhecimento que essa informação não estava disponível no site). Alguns ainda não estavam disponíveis, os que estavam carregados foi possivel baixar sem erro e com facilidade. Em geral ela não olha os contratos porque tinha todos os dados e conseguia pesquisar as publicações;"Mudar a forma de representação da informação para que o usuário entenda se o contrato existe ou não (ex: colocar no campo a seguinte frase "" esse contrato não existe"")";;;;;
40;ENTREVISTA 1;ENTREVISTA;COMPRAS - PROGRAMA DE ENFRENTAMENTO A COVID-19;FERRAMENTA DE BUSCA;Não pesquisei os contratos relacionados à covid direto pelo caminho da covid porque a pessoa que subiu a informação no sistema  provavemente não colocou com a fonte covid, então eu pesquisava pelos numeros do contrato para não correr o risco de não ter sido registrado nas fontes que estavam relacionados com o covid.;Centralizar as compras realizadas para combate à Pandemia independentemente da fonte utilzada;;???;;;
41;ENTREVISTA 2;ENTREVISTA;RECEITA;INCLUSÃO DE INFORMAÇÕES;Não existem muitos dados sobre renúncia fiscal;;Verificar viabilidade com o órgão responsável pela informação, SEF. Averiguar se já é uma informação disponibilizada.;;;;
42;ENTREVISTA 2;ENTREVISTA;INFORMAÇÕES SOCIOECONÔMICAS;INCLUSÃO DE INFORMAÇÕES;"O Portal dá muita ênfase a dados administrativos e quando se trata de dados finalísticos ele acaba direcionando para outros sites do Governo.
Dificuldade de localizar informações por área e temos poucos campos como informações socioeconômicas. A ênfase das informações são mais na área meio do que na área finalística.";Detalhar mais as informação sobre como o Governo gasta o recurso e como isso é revertido para a população, quais são as entregas;;médio;verificar;alto;BAIXA
43;ENTREVISTA 2;ENTREVISTA;GERAL;INCLUSÃO DE INFORMAÇÕES;Não consegue pesquisar sobre gasto público não consigo pesquisar uma série histórica, se eu quero pesquisar sobre uma ação/programa que se extendeu por muitos anos e trocou de nome ao longo do tempo ou se uma secretaria foi absorvida eu não consigo pesquisar com facilidade.;Possibilidade de baixar/pesquisar vários anos da execução da despesa em uma mesma consulta.;"Silviana; Criar um conjunto de dados com as alterações ao longo do tempo dos nomes as UO e etc";alto;;alto;alta
44;ENTREVISTA 2;ENTREVISTA;GERAL;TUTORIAL;O Portal as vezes nos da a impressão que precisamos entender sobre o Governo para saber a forma correta de navegar.;"Detalhar melhor quais informações estão disponibilizadas dentro de cada ""item/assunto"" do site.";;baixo;sim;médio;baixa
45;ENTREVISTA 2;ENTREVISTA;PESQUISA AVANÇADA;PARTIÇÃO DO ANO;;"Criar tabelas para consulta das mudanças históricas dos órgãos no tempo para facilitar a comparação dos dados no tempo. Possibilitar consulta histórica com os nomes das unidades, independente do órgão.
";Desmembrado em dois ID;médio;sim;3;baixa
46;ENTREVISTA 2;ENTREVISTA;FAQ;FERRAMENTA DE BUSCA;Como faz pra saber se a informação está no portal ou não? Tenta o caminho intuitivo ou joga na ferramenta de busca e se não consegue faz o pedido da informação.;"Analisar base do Fale Conosco ""cada solicitação de informação é um fracasso da busca""";"Sugestão dada pelo Entevistado. Importante aumentar cada vez mais a transparencia ativa, em detrimento da passiva
Silviana: Manual de navegação atualizado e com exemplos";baixo;sim;médio;baixa
47;ENTREVISTA 2;ENTREVISTA;DESPESA;INCLUSÃO DE INFORMAÇÕES;Sente falta de informações mais qualitativas. Ex: quando pesquisa a função saúde não consegue saber sobre o perfil de alocação dos recursos da saúde, entender como a população tem recebido esse retorno.;;;baixo;???;alto;baixa
48;ENTREVISTA 2;ENTREVISTA;PESQUISA AVANÇADA;LAYOUT;;Flexibilizar o mecanismo de busca do portal ( agregar informações de varias formas diferentes, exemplo bem velho é o sidra do IBGE vc arrasta os comandos e ele monta a planilha pra você) deixar o cidadão customizar a pesquisa.;Silviana: Alterar a navegabilidade da pesquisa avançada. Exemplo: Transparência Governo Federal;alto;sim;alto;alta
49;ENTREVISTA 3;ENTREVISTA;DESPESA;NOTA FISCAL;Sempre houve deficiência de mecanismo de informações, mas que dentro do portal tem muita informação interessante e esclarecedora. Acha que o portal deve ser mais utilizado pelo público externo pois recebe demanda de informações que estão disponíveis no portal e isso acaba onerando o trabalho.;;O exemplo citado refere-se ao fornecedor identificar a qual nota fiscal o pagamento foi realizado.;alto;sim;alto;
50;ENTREVISTA 3;ENTREVISTA;DESPESA;CONSOLIDAR DADOS;O empenho é feito por estimativa, caso falte algum valor no empenho, ele vira restos a pagar. Nesse caso, o histórico do pagamento fica na parte do empenho e também no restos a pagar o que dificulta a pesquisa.;Consolidar as informações de despesas com restos a pagar ou alterar o nome para despesa corrente ( pensar em inserir um link para restos a pagar na página de despesa);;alto;verificar;alto;
51;ENTREVISTA 3;ENTREVISTA;DESPESA;NOTA FISCAL;Sente falta de informações sobre liquidações e OP para pagamentos. Incluir número da nota fiscal;Quando cai um dinheiro na conta do município, eles ligam para saber de onde veio esse pagamento, se essa informação estivesse disponível no portal facilitaria.;;alto;sim;alto;
52;ENTREVISTA 3;ENTREVISTA;DESPESA;USABILIDADE;;Mudar o nome de despesa, para despesa corrente.;;baixo;sim;alto;
53;ENTREVISTA 3;ENTREVISTA;DESPESA;NOTA FISCAL;;Vincular a nota fiscal na pesquisa das depesas, para que o credor não tenha que ligar sempre solicitando.;;alto;sim;alto;
54;ENTREVISTA 4;ENTREVISTA;PESQUISA AVANÇADA;INCLUSÃO DE CAMPOS;Gosta muito da pesquisa avançada, mas ao inserir o que precisa ela não retorna as informações detalhadas.;A pesquisa avançada deveria possibilitar a navegação mais detalhada das informações, como por exemplo o detalhamento do empenho (formulário de detalhamento). Deveria apresentar além dos dados gerais os dados do empenho;Silviana: Acrescentar o número do empenho ou o link nos valores na pesquisa avançada de modo que o usuário consiga chegar até o formulário de detalhamento;alto;sim;alto;alta
55;ENTREVISTA 4;ENTREVISTA;DESPESA;INCLUSÃO DE INFORMAÇÕES;"Informações da caixa escolar. Detalhamento maior sobre educação.




";;;alto;sim;alto;
56;ENTREVISTA 4;ENTREVISTA;DIÁRIAS;INCLUSÃO DE INFORMAÇÕES;A consulta de diárias não possui CPF (acredita que seja erro na base);Acrescentar  o cpf do real beneficiário da diária;Silviana: Melhorar a consulta de diárias.;;;;
57;ENTREVISTA 4;ENTREVISTA;DESPESA;INCLUSÃO DE INFORMAÇÕES;Fármacia de Minas;;Usuário não detalhou a necessidade;;;;
58;ENTREVISTA 4;ENTREVISTA;TUTORIAL;INCLUIR INFORMAÇÕES;;Filme, tutorial do conteúdo de cada módulo;;3;SIM;2;BAIXA
59;ENTREVISTA 4;ENTREVISTA;CONVÊNIOS;INCLUSÃO DE INFORMAÇÕES;Acompanhamento da execução de um convênio (andamento da obra), link para ouvidoria caso identifique alguma irregularidade;"Prestação de contas. 
EX: Na parte de convênios, inserir fotos para que o cidadão acompanhe o andamentos das obras.";Verificar com a SEGOV se o sistema contem o módulo prestação de contas;alto;;alto;alta
60;ENTREVISTA 4;ENTREVISTA;OBRAS;INCLUSÃO DE INFORMAÇÕES;;Chamou a atenção o portal da transparência do Espírito Santo, mas não confirmou se foi esse mesmo. Disse que o que chamou a atenção foi a questão do portal dar a possibilidade de Geolocalização de obras.;"Sugestão do Entrevistado
Silviana: Não localizei no ES";alto;;alto;baixo
61;ENTREVISTA 4;ENTREVISTA;TUTORIAL;INCLUIR INFORMAÇÕES;;Para que o público externo tenha a facilidade de utilizar o site, inserir um tutorial (vídeo) explicando para que ser e o que vai encontrar em cada aba.;Sugestão do Entrevistado;3;SIM;2;BAIXA
62;ENTREVISTA 4;ENTREVISTA;PESQUISA AVANÇADA;INCLUSÃO DE INFORMAÇÕES;;Melhorar a pesquisa avançada para que ela traga mais detalhamento nas informações.;"Sugestão do Entrevistado
Ao gerar o resultado da pesquisa avançada o usuário poder clicar e ser direcionado ao detalhamento da despesa/empeho";alto;sim;alto;alto
63;ENTREVISTA 5;ENTREVISTA;PESQUISA AVANÇADA;PARTIÇÃO DO ANO;;Pode melhorar cruzamento de informações e a criação de tabelas dinâmicas, possibilitar que dentro do site seja feita essa seleção cruzando informações..;Silviana: Podemos pensar a questão da partição dos anos;médio;sim;alto;baixa
64;ENTREVISTA 6;ENTREVISTA;MUNICÍPIOS / OUTROS ESTADOS;INCLUSÃO DE INFORMAÇÕES;;Acha que o portal deve conter indicadores que sejam interessantes para a população, como por exemplo indicadores com comparações em relação a outros estados.;;alto;verificar;alto;
65;ENTREVISTA 6;ENTREVISTA;DÍVIDA;USABILIDADE;Teve dificuldade de encontrar informações sobre dívida pública;Acha que o portal pode ser mais interativo, mas não sabe dizer como.;;;;;
66;ENTREVISTA 6;ENTREVISTA;DESPESA;INCLUSÃO DE CAMPOS;;Sente falta do código que é utilizado na despesa corrente, pois a dotação orçamentária tem uma sequencia de números para comparação de base de dados.;se aplica a todas as consultas;alto;sim;alto;
67;ENTREVISTA 6;ENTREVISTA;DADOS ABERTOS;INCLUSÃO DE INFORMAÇÕES;;Inserir as execução das metas físicas e financeiras do PPAG. As informações de metas do PPAG enão estão no formato de base de dados nos demais portais.;Silviana: Disponibilizar os dados em formato aberto;alto;SIM;alto;
68;ENTREVISTA 6;ENTREVISTA;TUTORIAL;INCLUIR INFORMAÇÕES;;Inserir vídeos explicativos com informações relevantes para a população. Dar mais ênfase ao cidadão.;;3;SIM;2;BAIXA
69;FORMULÁRIO;FORMULÁRIO;DESPESA;INCLUSÃO DE INFORMAÇÕES;Os pagamentos da sáude efetuados aos municípios poderia ser como no FNS: constar o número da conta bancária que foi depositado, no caso do Estado a resolução de referência, etc.;https://consultafns.saude.gov.br/#/conta-bancaria;;;;;
70;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Informações referentes aos pagamentos de aposentados e pensionistas, já que estes dados estão disponíveis na esfera federal e em muitos estados.;;alto;sim;2;alta
71;FORMULÁRIO;FORMULÁRIO;PESQUISA AVANÇADA;FILTROS;Tenho dificuldade em agregar dados de receita, despesa e dívida pública. Além disso, poderia ser melhorada a agregação de dados sobre a previdência.;BI para facilitar a manipulação dos dados;;baixo;????;alto;baixa
72;FORMULÁRIO;FORMULÁRIO;GERAL;INCLUIR INFORMAÇÕES;Explicações dos termos técnicos;Inserir explicação próxima ao termo técnico;;2;SIM;2;BAIXA
73;FORMULÁRIO;FORMULÁRIO;MUNICÍPIOS / OUTROS ESTADOS;INCLUSÃO DE INFORMAÇÕES;;Projetos feitos pelos municípios para receber verbas;Não se aplica;;;;
74;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;Discriminação de outros valores como vale alimentação ajuda de custo e outros. Acredito que, no que se refere à remuneração dos servidores públicos, deveria constar todos os benefícios que são pagos, incluindo indenizações, honorários, quinquênios, tudo bem esclarecido pois o que aparece para a população em geral não é a realizadade.;Detalhamento das informações;;médio;sim;2;baixa
75;FORMULÁRIO;FORMULÁRIO;DESPESA;INCLUSÃO DE INFORMAÇÕES;;Gastos por órgão;Usuário não detalhou a necessidade;;;;
